KEY,CN,EN
千年积木,千年积木,Millennium Building Blocks 
宙斯,宙斯,Zeus 
克劳德,克劳德,Claude 
隼龙,隼龙,Falcon dragon
雅典娜之惊叹,雅典娜之惊叹,Athena's Marvel 
张,张,Zhang
贝优妮塔,贝优妮塔,Bayunita 
棒棒糖,棒棒糖,Lollipop 
哥伦比亚,哥伦比亚,Colombia
索拉尔,索拉尔,Solar 
威廉,威廉,William
绯红女皇,绯红女皇,Crimson Queen 
兄弟,兄弟,Brother
宫本茂,宫本茂,Miyamoto Makoto 
埃辛诺斯战刃,埃辛诺斯战刃,Essinos Blade 
可以,可以,Yes 
掉落更好物品,掉落更好物品,Drop better items 
杀怪掉落更多金币,杀怪掉落更多金币,Killing monsters to drop more gold coins 
可以带回城镇,可以带回城镇,Can be brought back to the town 
安全返回城镇,安全返回城镇,return to town safely
带回城镇,带回城镇,Brought back to town 
1件,1件,1 piece
不会,不会,No
会,会,Yes
进入下一层,进入下一层,Go to the next level
刺客信条,刺客信条, Assassin's Creed 
织田信长,织田信长, Oda Nobunaga 
饥荒,饥荒, Famine 
巫师之昆特牌,巫师之昆特牌, Wizard's Quint 
古墓丽影,古墓丽影, Tomb Raider 
帝国时代,帝国时代, Age of Empires 
剑网3,剑网3,剑网3
黄健翔,黄健翔,Huang Jianxiang
怀特迈恩,怀特迈恩, Whiteman 
无双大蛇,无双大蛇, Musou Big Snake 
超级马里奥,超级马里奥, Super Mario 
瓦路易基,瓦路易基, Valogui 
塞尔达,塞尔达,Zelda
男,男,male
不管不顾,不管不顾,regardless of
绝地求生,绝地求生, Jedi Survival 
黑色,黑色,black
右眼,右眼, right eye
兰斯洛特,兰斯洛特, Lancelot 
车祸,车祸,car accident
庐山升龙霸,庐山升龙霸,庐山升龙霸
斗神,斗神, Fighting God 
圣骑士,圣骑士, Paladin 
狗,狗,dog
竖开,竖开,open
火力全开,火力全开,Firepower is fully open
吹风,吹风, Blow Up 
千年智慧轮,千年智慧轮, Millennium Wisdom Wheel 
赫拉,赫拉, Hera 
洛克,洛克, Locke 
忍龙,忍龙,Ninja Dragon
曙光女神之宽恕,曙光女神之宽恕, Twilight Goddess Forgiveness 
春,春,Chun
贞德,贞德, Jude 
血瓶,血瓶, Blood Bottle 
巴伦西亚,巴伦西亚,Valencia
亚尔特留斯,亚尔特留斯, Yaltreus 
乌拉席露,乌拉席露,Ula Sherlu
叛逆之刃,叛逆之刃, Rebellious Blade 
父子,父子,father and son
岩田聪,岩田聪, Iwata Satoshi 
伊利丹之刃,伊利丹之刃, Illidan Blade 
不可以,不可以, no
掉落更多物品,掉落更多物品, Drop more items 
开宝箱获得更多金币,开宝箱获得更多金币, Open treasure chest to get more gold coins 
只能在地下城使用,只能在地下城使用, can only be used in the dungeon 
按死亡处理,按死亡处理,by death]
消失,消失, disappeared 
2件,2件,2 pieces
找到远古秘宝,找到远古秘宝,Find ancient secrets
丰臣秀吉,丰臣秀吉, Toyotomi Hideyoshi 
魔兽争霸3,魔兽争霸3, Warcraft 3 
生化危机,生化危机, Resident Evil 
命令与征服,命令与征服, Command and Conquer 
地下城与勇士,地下城与勇士,Dungeon and Warriors
joker,joker,joker
阿尔萨斯,阿尔萨斯, Alsace 
三国志,三国志, Three Kingdoms 
双截龙,双截龙, Double Dragon 
瓦里奥,瓦里奥, Valio 
米特娜,米特娜,Mitna
英雄联盟,英雄联盟, League of Legends 
绿色,绿色,green
闪烁之光,闪烁之光, Flashing Light 
格拉海德,格拉海德, Gerhard 
雪崩,雪崩,avalanche
风翼天翔,风翼天翔,风翼天翔
斗圣,斗圣, Fighting Saint 
法师,法师, Master 
猪,猪,pig
毁天灭地,毁天灭地,Destroyed and destroyed
黑皇杖,黑皇杖, black king stick 
千年眼,千年眼, Millennium Eyes 
波塞冬,波塞冬, Poseidon 
提达,提达, Tiida 
红叶,红叶,Red leaf
天舞宝轮,天舞宝轮, Heaven Dance Wheel 
李,李,Lee
瑟蕾莎,瑟蕾莎, Serena 
鲜花,鲜花, Flowers 
阿尔巴尼亚,阿尔巴尼亚,Albania
希夫,希夫, Schiff 
杰洛特,杰洛特,Jerlot
蕾蒂,蕾蒂, Retty 
好友,好友,friend
樱井博政,樱井博政, Sakurai Bosuke 
泰兰德的记忆,泰兰德的记忆, Tyrande's Memory 
看起来很COOOOL,看起来很COOOOL, Looks very COOOOL
直接获得金币,直接获得金币, Get gold coins directly
仅在当前关卡使用,仅在当前关卡使用, only in the current level
按逃跑处理,按逃跑处理,by escape
变成粉末,变成粉末, turned into powder
3件,3件,3 pieces
会损失一部分,会损失一部分,will lose part
有时候会,有时候会, sometimes 
穿越,穿越,crossing
宁宁,宁宁, Ningning
岛屿部落,岛屿部落, Island Tribe
合金装备,合金装备, Metal Gear
魔兽争霸,魔兽争霸, Warcraft
永恒之塔,永恒之塔,Eternal Tower
吉恩·格雷迈恩,吉恩·格雷迈恩, Jean Graham
三国：全面战争,三国：全面战争, Three Kingdoms: Total War
恶魔城,恶魔城, Castlevania
奇里奥,奇里奥, Chirio
卓玛,卓玛,Zhuoma
堡垒之夜,堡垒之夜, Fortress Night
棕色,棕色,brown
时穿剑,时穿剑, Time Travel Sword
莫德雷德,莫德雷德, Modred
海浪,海浪,wave
钻石星尘,钻石星尘,Diamond Stardust
斗尊,斗尊, Fighting
山丘之王,山丘之王, King of the Hill
鼠,鼠,rat
无人能挡,无人能挡,No one can block
买活,买活, buy live
千年钥匙,千年钥匙, Millennium Key
哈迪斯,哈迪斯, Hades
斯诺,斯诺, Snow
战龙,战龙,Fighting Dragon
阿修罗,阿修罗, Ashura
赵,赵,Zhao
巴德尔,巴德尔, Badr
胶囊,胶囊, Capsules
亚特兰大,亚特兰大,Atlanta
葛温德林,葛温德林, Gwendelin
神谷英树,神谷英树,God Valley
誓约胜利之剑,誓约胜利之剑, Vows the Sword of Victory
主仆,主仆,master servant
山内傅,山内傅, Yamauchi Fu
阿古斯,阿古斯, Argus
所有装备,所有装备,all 
点击屏幕继续,点击屏幕继续,Tap Start
注册,注册,Register
购买中....,购买中....,Purchasing
查询支付结果中....,查询支付结果中....,Check Result
查询订单中....,查询订单中....,Check Purchase
初始化用户中,初始化用户中,Init User Data
刷新商店列表,刷新商店列表,Refresh List
钻石不足，无法刷新！,钻石不足，无法刷新！,Need More Diamond
登陆中,登陆中,Login
获得验证码,获得验证码,Code
账号绑定中,账号绑定中,Account Binding
更新密码中,更新密码中,Update Pwd
注册中,注册中,Registing
游客登陆中,游客登陆中,Guest Loging
数量不足,数量不足,Need More Number
列表数据为空,列表数据为空,Empty Data
网络错误,网络错误,Net Error
转职所需击杀点不足,转职所需击杀点不足,Kill Not Enough
充值成功,充值成功,ReCharge Success
充值失败，请联系客服,充值失败，请联系客服,ReCharge Fail
可用数量不足，购买失败,可用数量不足，购买失败,Need More Number
背包空间不足，购买失败,背包空间不足，购买失败,Need More Bag Cell
金币不足，购买失败,金币不足，购买失败,Need More Gold
钻石不足，购买失败,钻石不足，购买失败,Need More Diamond
尊敬的神佑特权用户您好！！,尊敬的神佑特权用户您好！！,Dear God  privileged users  hello! !
您今天已经领取过奖励了！！,您今天已经领取过奖励了！！,You have already received a reward today! !
材料不足！,材料不足！,Not enough material!
金币不足！,金币不足！,Gold inadequate!
背包空间不足 领取失败！！,背包空间不足 领取失败！！,Insufficient space for the backpack. !
钻石不足 无法复活,钻石不足 无法复活,Insufficient diamonds
领取失败！,领取失败！,The collection failed!
生命值过低，打不开解谜,生命值过低，打不开解谜,The health is too low to solve the puzzle.
这个解谜打不开,这个解谜打不开,This puzzle can't be opened.
答题结束，请领取奖励,答题结束，请领取奖励,End of the answer  please receive a reward
回答正确，继续下一题,回答正确，继续下一题,Answer correctly  continue to the next question
战斗胜利，继续下一题,战斗胜利，继续下一题,Fight victory  continue the next question
获取邮件信息失败，请稍后重试,获取邮件信息失败，请稍后重试,Failed to get mail information  please try again later
谜题已经解开了,谜题已经解开了,The puzzle has been solved
邮件删除完成,邮件删除完成,Mail deletion completed
重设密码成功,重设密码成功,Reset password successfully
需要更多的制作材料哦！,需要更多的制作材料哦！,Need more materials!
骨戒变得更强大了！,骨戒变得更强大了！,The bone ring has become stronger!
该装备已经顶级了！！,该装备已经顶级了！！,The equipment is already top! !
已成功复制账号！,已成功复制账号！,Successfully copied account!
订单签名错误，购买无效,订单签名错误，购买无效,Order signature error  purchase is invalid
向 API 提供的参数无效。,向 API 提供的参数无效。,The parameters provided to the API are invalid.
API 操作期间发生致命错误,API 操作期间发生致命错误,Fatal error occurred during API operation
Billing API 版本不受所请求类型的Billing API 版本不受所请求类型的支持,Billing API 版本不受所请求类型的Billing API 版本不受所请求类型的支持,The Billing API version is not supported by the requested type of Billing API version.
升阶所需击杀点不足,升阶所需击杀点不足,Insufficient kill points required for the upgrade
